,用户码,用户名称,景区码,景区名称
444,705,爱旅游用户18,6,颐和园
445,705,爱旅游用户18,1879,大观园
447,4130,爱旅游用户19,21,什刹海
448,4130,爱旅游用户19,0,故宫
449,4130,爱旅游用户19,53,烟袋斜街
450,4130,爱旅游用户19,12,南锣鼓巷
455,1099,ET佬顽童,4,八达岭长城
458,4241,白羊Season,17,三里屯
460,197,MuayNeeKa,19,前门大街
461,197,MuayNeeKa,0,故宫
463,197,MuayNeeKa,21,什刹海
466,6546,伊姒,0,故宫
467,6546,伊姒,6,颐和园
468,6546,伊姒,20,圆明园
470,6546,伊姒,17,三里屯
472,1595,与岛无缘,6,颐和园
473,1595,与岛无缘,34,香山公园
475,5618,爱旅游用户21,73,虎峪
481,3986,爱旅游用户23,116,马勒别墅
482,3986,爱旅游用户23,143,上海动物园
487,5073,爱旅游用户24,101,上海环球金融中心
491,5073,爱旅游用户24,104,南京路步行街
492,5073,爱旅游用户24,82,武康路
493,5073,爱旅游用户24,84,外滩
494,1936,任袁泰山,80,上海海昌海洋公园
495,1936,任袁泰山,114,上海汽车博物馆
499,7159,爱旅游用户25,291,上海世纪大道
506,5249,尼那么可爱,158,南翔古镇
507,5249,尼那么可爱,99,豫园
508,5249,尼那么可爱,115,上海影视乐园
509,5249,尼那么可爱,283,上海世博园
512,2127,我在兜圈圈,84,外滩
513,2127,我在兜圈圈,150,黄浦江
515,4172,背包-去旅行,102,上海自然博物馆
516,4172,背包-去旅行,88,东方明珠
517,4172,背包-去旅行,89,田子坊
518,4172,背包-去旅行,176,复旦大学
519,4172,背包-去旅行,84,外滩
520,4172,背包-去旅行,136,上海老街
521,4172,背包-去旅行,99,豫园
529,2042,三心心,5161,世纪公园
530,2042,三心心,135,陆家嘴
534,1360,wrwt5524,99,豫园
536,1360,wrwt5524,84,外滩
538,653,爱旅游用户26,150,黄浦江
540,653,爱旅游用户26,135,陆家嘴
541,653,爱旅游用户26,84,外滩
542,653,爱旅游用户26,88,东方明珠
543,653,爱旅游用户26,137,外白渡桥
544,653,爱旅游用户26,285,北京东路
545,653,爱旅游用户26,89,田子坊
546,6048,溜溜达达四处...,78,上海迪士尼度假区
548,6048,溜溜达达四处...,104,南京路步行街
550,6048,溜溜达达四处...,1533,寒山寺
558,3719,MOKAER,96,上海博物馆
559,3719,MOKAER,6812,人民广场
563,2179,郭文文530,101,上海环球金融中心
564,2179,郭文文530,113,上海中心大厦
565,2179,郭文文530,82,武康路
566,2179,郭文文530,84,外滩
567,2179,郭文文530,88,东方明珠
568,2179,郭文文530,89,田子坊
569,2179,郭文文530,174,金茂大厦
571,3675,逍遥龙,142,古猗园
572,3675,逍遥龙,158,南翔古镇
574,3675,逍遥龙,88,东方明珠
575,3675,逍遥龙,101,上海环球金融中心
576,3675,逍遥龙,118,新天地
578,1335,annejaneli,89,田子坊
579,1335,annejaneli,154,淮海路
582,1335,annejaneli,104,南京路步行街
584,490,莎莎爱旅行,135,陆家嘴
585,490,莎莎爱旅行,84,外滩
588,490,莎莎爱旅行,202,中国航海博物馆
592,3843,爱旅游用户27,89,田子坊
596,5672,福_福福福,84,外滩
598,5672,福_福福福,104,南京路步行街
601,5661,玩美噩梦,89,田子坊
603,2165,东篱dl,78,上海迪士尼度假区
607,2165,东篱dl,127,迪士尼小镇
609,1896,吾徐,89,田子坊
612,4378,行者Terry,116,马勒别墅
614,4378,行者Terry,135,陆家嘴
615,4378,行者Terry,84,外滩
617,4378,行者Terry,8345,关帝庙
622,6998,Barbara-Hu,165,甜爱路
623,6998,Barbara-Hu,1726,鲁迅公园
624,6998,Barbara-Hu,1185,鲁迅纪念馆
626,3810,安icon,104,南京路步行街
628,3810,安icon,285,北京东路
630,3810,安icon,84,外滩
631,3692,蓝色天空zgz,115,上海影视乐园
632,3692,蓝色天空zgz,84,外滩
633,3692,蓝色天空zgz,254,上海四行仓库抗战纪念馆
634,3692,蓝色天空zgz,89,田子坊
635,3692,蓝色天空zgz,113,上海中心大厦
636,3692,蓝色天空zgz,297,顾村公园
637,2890,梦回1980,78,上海迪士尼度假区
639,2890,梦回1980,88,东方明珠
640,2890,梦回1980,104,南京路步行街
641,988,林爱念念,148,上海植物园
644,6680,滢萱,185,衡复历史文化风貌区
645,6680,滢萱,84,外滩
646,6680,滢萱,87,广富林文化遗址
647,6680,滢萱,135,陆家嘴
648,6424,無敵solo蜜,89,田子坊
649,6424,無敵solo蜜,104,南京路步行街
650,6424,無敵solo蜜,84,外滩
652,6424,無敵solo蜜,199,上海交通大学
655,5338,爱旅游用户28,6403,孔庙
657,4913,ponycat,78,上海迪士尼度假区
663,4599,紫陌_ZIMO,80,上海海昌海洋公园
664,3977,goericgo,150,黄浦江
669,2093,Hannah夏夏,79,上海海洋水族馆
670,2093,Hannah夏夏,142,古猗园
673,3805,爱旅游用户29,100,上海科技馆
676,4401,karenluna在...,82,武康路
677,4401,karenluna在...,84,外滩
678,4401,karenluna在...,180,武康大楼
680,4401,karenluna在...,88,东方明珠
681,4401,karenluna在...,150,黄浦江
684,2017,徵雨思微,78,上海迪士尼度假区
688,6174,许你忆,248,古城公园
691,6061,爱旅游用户30,129,佘山国家森林公园
697,2217,rukoubingtan...,84,外滩
698,2217,rukoubingtan...,104,南京路步行街
700,4378,行者Terry,171,醉白池
701,5092,wnst1851,78,上海迪士尼度假区
702,5092,wnst1851,127,迪士尼小镇
705,47,榜样巫婆,78,上海迪士尼度假区
706,7089,小懒佩,101,上海环球金融中心
707,7089,小懒佩,135,陆家嘴
708,7089,小懒佩,84,外滩
709,7089,小懒佩,89,田子坊
711,7089,小懒佩,99,豫园
712,7089,小懒佩,104,南京路步行街
715,5818,tvyd1581,84,外滩
718,5818,tvyd1581,88,东方明珠
724,3487,久闻jowen,91,上海城隍庙道观
725,3487,久闻jowen,165,甜爱路
729,3487,久闻jowen,291,上海世纪大道
731,4100,勇气SG,135,陆家嘴
732,4100,勇气SG,88,东方明珠
734,4100,勇气SG,104,南京路步行街
735,4100,勇气SG,99,豫园
736,4291,River_hy,89,田子坊
737,4291,River_hy,118,新天地
738,4291,River_hy,199,上海交通大学
739,4291,River_hy,8855,人民公园
740,4291,River_hy,84,外滩
746,5133,菜尾蝗,88,东方明珠
751,2607,超级小包子,84,外滩
752,5784,通儿,148,上海植物园
753,405,melody-31,88,东方明珠
755,405,melody-31,84,外滩
758,1892,爱旅游用户32,101,上海环球金融中心
759,1892,爱旅游用户32,88,东方明珠
762,144,dongdong-Lie...,99,豫园
763,144,dongdong-Lie...,84,外滩
777,1676,爱旅游用户34,170,城隍庙旅游区
779,1676,爱旅游用户34,104,南京路步行街
780,1676,爱旅游用户34,84,外滩
781,1676,爱旅游用户34,137,外白渡桥
786,4378,行者Terry,193,古藤园
788,6416,三毛MUSE,6812,人民广场
792,6416,三毛MUSE,89,田子坊
794,6665,小米粒旅行记,80,上海海昌海洋公园
799,4336,动感1琳1,253,黄炎培故居
800,4336,动感1琳1,6812,人民广场
802,1279,Sasalem,84,外滩
803,1279,Sasalem,5161,世纪公园
804,1279,Sasalem,104,南京路步行街
806,1279,Sasalem,88,东方明珠
808,4336,动感1琳1,266,高桥古镇
809,4336,动感1琳1,263,荷兰风情小镇
810,1355,大脸猫没有蓝...,114,上海汽车博物馆
811,1355,大脸猫没有蓝...,158,南翔古镇
814,2321,Being要吃胡...,84,外滩
815,2321,Being要吃胡...,89,田子坊
817,2321,Being要吃胡...,125,思南路
823,4378,行者Terry,150,黄浦江
825,4378,行者Terry,243,老码头
827,4378,行者Terry,128,长兴岛郊野公园
834,27,惠及八方,84,外滩
836,27,惠及八方,175,黄浦江观光区
837,27,惠及八方,289,外滩观光隧道
838,27,惠及八方,88,东方明珠
839,27,惠及八方,137,外白渡桥
840,5934,空气贝儿,80,上海海昌海洋公园
842,4344,爱旅游用户38,6812,人民广场
844,4344,爱旅游用户38,166,上海长风海洋世界
845,4344,爱旅游用户38,96,上海博物馆
846,4344,爱旅游用户38,88,东方明珠
847,4344,爱旅游用户38,176,复旦大学
848,4125,海汐旅游,6812,人民广场
850,676,马玛丽MARYMA,150,黄浦江
851,676,马玛丽MARYMA,123,中华艺术宫
853,3006,苗雨佳,150,黄浦江
856,4031,爱旅游用户39,125,思南路
857,4031,爱旅游用户39,104,南京路步行街
858,4031,爱旅游用户39,82,武康路
859,4031,爱旅游用户39,99,豫园
860,4031,爱旅游用户39,136,上海老街
861,4031,爱旅游用户39,84,外滩
862,4031,爱旅游用户39,93,静安寺
864,4183,文武贝余,150,黄浦江
867,1382,爱旅游用户40,99,豫园
868,1382,爱旅游用户40,104,南京路步行街
869,1382,爱旅游用户40,84,外滩
871,1382,爱旅游用户40,89,田子坊
872,1382,爱旅游用户40,201,上海琉璃艺术博物馆
873,5956,aromasun,154,淮海路
874,5956,aromasun,125,思南路
879,1771,旅行摄影师冉...,150,黄浦江
880,1771,旅行摄影师冉...,291,上海世纪大道
883,3207,Kaka茜,6812,人民广场
884,3207,Kaka茜,89,田子坊
888,3207,Kaka茜,99,豫园
889,3207,Kaka茜,199,上海交通大学
891,2428,行走的小黑胖,137,外白渡桥
892,2428,行走的小黑胖,121,七宝古镇
893,2428,行走的小黑胖,94,金山城市沙滩
899,5663,byvr1010,84,外滩
900,5663,byvr1010,88,东方明珠
901,6274,爱旅游用户41,124,召稼楼
902,6916,KiKiWiWi看世...,80,上海海昌海洋公园
903,6174,许你忆,313,秋霞圃
906,6174,许你忆,4400,法华塔
907,6174,许你忆,6403,孔庙
909,6174,许你忆,198,紫藤园
911,4378,行者Terry,195,古华公园
913,4378,行者Terry,182,奉贤博物馆
915,1457,老虎_Liu,113,上海中心大厦
916,1457,老虎_Liu,150,黄浦江
918,1457,老虎_Liu,174,金茂大厦
919,1457,老虎_Liu,88,东方明珠
923,4655,爱旅游用户42,84,外滩
925,4655,爱旅游用户42,89,田子坊
927,2197,小米的一世繁...,105,枫泾古镇
929,4378,行者Terry,150,黄浦江
930,1835,噼哩啦啦的日...,78,上海迪士尼度假区
932,1379,张磊0716,289,外滩观光隧道
933,1379,张磊0716,136,上海老街
935,1379,张磊0716,88,东方明珠
936,1537,huanhuanwenw...,89,田子坊
937,1537,huanhuanwenw...,154,淮海路
938,1537,huanhuanwenw...,157,徐家汇天主教堂
939,1537,huanhuanwenw...,137,外白渡桥
940,1537,huanhuanwenw...,99,豫园
942,1537,huanhuanwenw...,136,上海老街
943,5078,洣LALA,104,南京路步行街
944,5078,洣LALA,89,田子坊
945,5078,洣LALA,88,东方明珠
946,5078,洣LALA,175,黄浦江观光区
948,5078,洣LALA,84,外滩
949,5187,akru7435,78,上海迪士尼度假区
951,4350,爱旅游用户44,84,外滩
952,4350,爱旅游用户44,99,豫园
954,4350,爱旅游用户44,104,南京路步行街
964,5753,享旅世界,96,上海博物馆
965,5753,享旅世界,6812,人民广场
968,6484,Julia甜,121,七宝古镇
970,5007,JIEFEIER,150,黄浦江
974,3063,郑能量姑娘,101,上海环球金融中心
975,3063,郑能量姑娘,123,中华艺术宫
976,3063,郑能量姑娘,113,上海中心大厦
977,3063,郑能量姑娘,84,外滩
978,3063,郑能量姑娘,6812,人民广场
981,6614,秦添Sunning,150,黄浦江
983,6614,秦添Sunning,123,中华艺术宫
986,3023,Insipid伍Sir,90,上海海湾国家森林公园
987,3023,Insipid伍Sir,111,滴水湖
988,3023,Insipid伍Sir,122,南汇嘴观海公园
994,7053,匆匆_,246,韩湘水博园
996,760,爱旅游用户45,89,田子坊
997,760,爱旅游用户45,170,城隍庙旅游区
999,760,爱旅游用户45,99,豫园
1004,6042,MooooooraZ,82,武康路
1006,6042,MooooooraZ,84,外滩
1009,3008,爱旅游用户46,100,上海科技馆
1014,3008,爱旅游用户46,6812,人民广场
1015,2514,Oneone,150,黄浦江
1017,5521,爱旅游用户47,84,外滩
1018,5521,爱旅游用户47,89,田子坊
1019,5521,爱旅游用户47,170,城隍庙旅游区
1021,5521,爱旅游用户47,104,南京路步行街
1022,1902,HOKANYAN,6812,人民广场
1023,1902,HOKANYAN,88,东方明珠
1024,1902,HOKANYAN,84,外滩
1025,1902,HOKANYAN,105,枫泾古镇
1026,1902,HOKANYAN,91,上海城隍庙道观
1029,6736,RomanticP,88,东方明珠
1030,6736,RomanticP,84,外滩
1032,6736,RomanticP,104,南京路步行街
1034,6068,青禾流浪记,82,武康路
1035,6068,青禾流浪记,84,外滩
1036,6068,青禾流浪记,180,武康大楼
1037,6068,青禾流浪记,6812,人民广场
1038,5086,爱旅游用户48,100,上海科技馆
1040,4378,行者Terry,150,黄浦江
1041,1650,爱旅游用户49,224,上海展览中心
1042,2080,爱旅游用户50,89,田子坊
1043,1101,首席造梦师,150,黄浦江
1045,1101,首席造梦师,209,田子坊石库门
1048,4019,小丸子木有樱...,84,外滩
1050,4019,小丸子木有樱...,137,外白渡桥
1051,4019,小丸子木有樱...,99,豫园
1052,4019,小丸子木有樱...,104,南京路步行街
1053,4019,小丸子木有樱...,118,新天地
1054,4019,小丸子木有樱...,235,同济大学
1059,4316,爱旅游用户51,127,迪士尼小镇
1063,6831,俄乖乖,84,外滩
1065,6831,俄乖乖,88,东方明珠
1066,3683,刚哥,84,外滩
1067,3683,刚哥,88,东方明珠
1068,3683,刚哥,89,田子坊
1069,3683,刚哥,224,上海展览中心
1070,3156,艾米小小米,104,南京路步行街
1072,3156,艾米小小米,170,城隍庙旅游区
